what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371539373906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539381578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539382500
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1371539382593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539382890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539404765
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371539407734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539419296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539419390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371539422500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371539427078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371539437000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539443250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539478156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371539482625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371539488156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539571625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539617609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539622437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539627171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539632593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539671765
failed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.override.methods",1371539671781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539706328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371539706328
